date,repo_url,stars
2026-09-02,https://github.com/0x0funky/agent-sprite-forge,3984
2026-09-02,https://github.com/0x4m4/hexstrike-ai,11504
2026-09-02,https://github.com/Abilityai/trinity,503
2026-09-02,https://github.com/AgriciDaniel/claude-ads,8684
2026-09-02,https://github.com/AgriciDaniel/claude-seo,16131
2026-09-02,https://github.com/Alishahryar1/free-claude-code,52770
2026-09-02,https://github.com/AminBlg/SimpleEnglish,3109
2026-09-02,https://github.com/AvdLee/SwiftUI-Agent-Skill,3482
2026-09-02,https://github.com/BeehiveInnovations/pal-mcp-server,11729
2026-09-02,https://github.com/BloopAI/vibe-kanban,27993
2026-09-02,https://github.com/Cassette-Editor/oh-my-cassette,132
2026-09-02,https://github.com/Cesarjoquin/shopify-mcp,140
2026-09-02,https://github.com/ChinaSiro/claude-code-sourcemap,9650
2026-09-02,https://github.com/DevnorsAI/devnors-data-mcp,242
2026-09-02,https://github.com/Donchitos/Claude-Code-Game-Studios,24769
2026-09-02,https://github.com/Enderfga/claw-orchestrator,562
2026-09-02,https://github.com/EveryInc/compound-engineering-plugin,24783
2026-09-02,https://github.com/FlorianBruniaux/claude-code-ultimate-guide,5874
2026-09-02,https://github.com/Imbad0202/academic-research-skills,45456
2026-09-02,https://github.com/Jeffallan/claude-skills,11295
2026-09-02,https://github.com/JimLiu/baoyu-design,3815
2026-09-02,https://github.com/JuliusBrussee/caveman,102485
2026-09-02,https://github.com/K-Dense-AI/scientific-agent-skills,42032
2026-09-02,https://github.com/KKKKhazix/khazix-skills,20365
2026-09-02,https://github.com/Maciek-roboblog/Claude-Code-Usage-Monitor,8670
2026-09-02,https://github.com/MadsLorentzen/ai-job-search,40184
2026-09-02,https://github.com/Manavarya09/design-extract,4006
2026-09-02,https://github.com/MengTo/Skills,5733
2026-09-02,https://github.com/NVIDIA/SkillSpector,15607
2026-09-02,https://github.com/NVIDIA/skills,3176
2026-09-02,https://github.com/NanmiCoder/cc-haha,14267
2026-09-02,https://github.com/Nutlope/hallmark,27884
2026-09-02,https://github.com/OpenCoworkAI/open-codesign,7867
2026-09-02,https://github.com/Orchestra-Research/AI-Research-SKILLs,12256
2026-09-02,https://github.com/OthmanAdi/planning-with-files,26584
2026-09-02,https://github.com/Q00/ouroboros,5754
2026-09-02,https://github.com/Shubhamsaboo/awesome-llm-apps,135753
2026-09-02,https://github.com/Storybloq/storybloq,699
2026-09-02,https://github.com/SuperClaude-Org/SuperClaude_Framework,23862
2026-09-02,https://github.com/TabularisDB/tabularis,4636
2026-09-02,https://github.com/ToolJet/ToolJet,40819
2026-09-02,https://github.com/Vincentwei1021/video-shotcraft,7086
2026-09-02,https://github.com/VoltAgent/awesome-agent-skills,33627
2026-09-02,https://github.com/VoltAgent/awesome-claude-code-subagents,24806
2026-09-02,https://github.com/Waishnav/devspace,4410
2026-09-02,https://github.com/Wei-Shaw/claude-relay-service,12582
2026-09-02,https://github.com/Yeachan-Heo/oh-my-claudecode,38952
2026-09-02,https://github.com/YishenTu/claudian,15119
2026-09-02,https://github.com/a-bonus/google-docs-mcp,653
2026-09-02,https://github.com/addyosmani/agent-skills,91660
2026-09-02,https://github.com/affaan-m/ECC,246109
2026-09-02,https://github.com/ageerle/ruoyi-ai,5682
2026-09-02,https://github.com/agentskills/agentskills,24971
2026-09-02,https://github.com/alchaincyf/huashu-design,23818
2026-09-02,https://github.com/alirezarezvani/claude-skills,25421
2026-09-02,https://github.com/anbeime/skill,6080
2026-09-02,https://github.com/antfu/skills,5832
2026-09-02,https://github.com/anthropics/claude-code,143781
2026-09-02,https://github.com/anthropics/claude-code-action,8777
2026-09-02,https://github.com/anthropics/claude-plugins-official,35823
2026-09-02,https://github.com/anthropics/life-sciences,585
2026-09-02,https://github.com/anthropics/skills,173206
2026-09-02,https://github.com/asgeirtj/system_prompts_leaks,64022
2026-09-02,https://github.com/askalf/dario,500
2026-09-02,https://github.com/atilaahmettaner/tradingview-mcp,4330
